names,science score,history score
Sandra Case,89,7.0
Curt Ruiz,62,4.9
Karen Ogburn,47,3.4
Barbara Torres,49,4.5
Denise Potts,43,4.4
Nicole Roberts,57,5.4
Alan Mccloud,48,4.3
Donald Upchurch,49,4.5
Martin Wilson,55,2.7
Belinda Tuholski,91,5.6
Luetta Caponigro,6,2.3
Alex Mcdowell,64,4.3
Cody Garcia,63,5.1
Nancy Ramos,54,6.2
Shirley Witt,59,4.6
Harry Murphy,51,3.4
Andrea Mcdavid,40,4.2
Howard Jimenez,72,5.0
Rosa Clagon,30,3.2
Clarice Machida,53,5.1
Robert Taylor,86,4.9
Linda Nevin,45,5.4
Rebecca Souliere,38,4.2
Ethel Kirby,49,5.3
Arturo Brown,63,3.6
Melanie Acevedo,79,6.3
Christopher Wall,62,4.0
Margaret Spannaus,47,4.0
Vickie Sellers,47,5.7
Kari Mitchell,53,6.2
